disease,scenario,replication,cumulative_attack_rate,peak_incidence,peak_timing,epidemic_duration,hospital_days,total_infections,R_eff_final
ebola,baseline,186,0.0415,30.0,113.0,187.0,2334.72,415.0,1.7253
ebola,baseline,187,0.0621,52.0,120.0,247.0,3539.3199999999997,621.0,1.68822
ebola,baseline,188,0.116,61.0,95.0,295.0,6425.040000000001,1160.0,1.5912
ebola,baseline,189,0.016,34.0,24.0,114.0,938.6,160.0,1.7712
ebola,baseline,190,0.0391,31.0,81.0,193.0,2295.2,391.0,1.7296200000000002
ebola,baseline,191,0.0181,28.0,25.0,127.0,1085.2800000000002,181.0,1.76742
ebola,baseline,192,0.0121,20.0,22.0,110.0,678.6800000000001,121.0,1.7782200000000001
ebola,baseline,193,0.0821,44.0,90.0,364.0,4774.320000000001,821.0,1.6520400000000002
ebola,baseline,194,0.0227,35.0,45.0,109.0,1318.6000000000001,227.0,1.7591400000000001
ebola,baseline,195,0.0863,53.0,53.0,242.0,4980.280000000001,863.0,1.6446600000000002
ebola,baseline,196,0.0458,29.0,127.0,279.0,2561.96,458.0,1.7175600000000002
ebola,baseline,197,0.034,22.0,27.0,322.0,1951.6799999999998,340.0,1.7388
ebola,baseline,198,0.0779,71.0,70.0,270.0,4496.92,779.0,1.65978
ebola,baseline,199,0.0056,12.0,22.0,112.0,310.84000000000003,56.0,1.7899200000000002
ebola,patient_ai,0,0.029,25.0,138.0,231.0,1643.1200000000001,290.0,1.7478
ebola,patient_ai,1,0.0069,13.0,32.0,80.0,361.76,69.0,1.78758
ebola,patient_ai,2,0.0174,25.0,12.0,194.0,951.52,174.0,1.76868
ebola,patient_ai,3,0.0305,35.0,34.0,127.0,1688.72,305.0,1.7451
ebola,patient_ai,4,0.0137,23.0,47.0,87.0,746.3199999999999,137.0,1.7753400000000001
ebola,patient_ai,5,0.0119,25.0,19.0,134.0,675.64,119.0,1.7785799999999998
ebola,patient_ai,6,0.005,15.0,9.0,52.0,291.84000000000003,50.0,1.791
ebola,patient_ai,7,0.0119,22.0,19.0,108.0,662.72,119.0,1.7785799999999998
ebola,patient_ai,8,0.0047,13.0,4.0,67.0,267.52,47.0,1.7915400000000001
ebola,patient_ai,9,0.0088,14.0,49.0,107.0,502.35999999999996,88.0,1.7841600000000002
ebola,patient_ai,10,0.0068,12.0,8.0,100.0,377.7199999999999,68.0,1.7877600000000002
ebola,patient_ai,11,0.0067,15.0,16.0,131.0,398.24000000000007,67.0,1.78794
ebola,patient_ai,12,0.0201,26.0,20.0,235.0,1108.08,201.0,1.7638200000000002
ebola,patient_ai,13,0.0156,21.0,18.0,139.0,947.72,156.0,1.7719200000000002
ebola,patient_ai,14,0.008,18.0,31.0,79.0,455.24,80.0,1.7856
ebola,patient_ai,15,0.0063,15.0,16.0,79.0,366.32,63.0,1.7886600000000001
ebola,patient_ai,16,0.0444,30.0,39.0,274.0,2465.44,444.0,1.7200799999999998
ebola,patient_ai,17,0.0211,24.0,14.0,252.0,1224.3600000000001,211.0,1.7620200000000001
ebola,patient_ai,18,0.0261,27.0,58.0,201.0,1556.4799999999998,261.0,1.75302
ebola,patient_ai,19,0.0185,24.0,65.0,129.0,1067.04,185.0,1.7667
ebola,patient_ai,20,0.014,13.0,18.0,170.0,744.8,140.0,1.7748
ebola,patient_ai,21,0.0076,20.0,11.0,63.0,398.24,76.0,1.7863200000000001
ebola,patient_ai,22,0.0072,16.0,28.0,60.0,389.88,72.0,1.7870400000000002
ebola,patient_ai,23,0.0131,19.0,37.0,139.0,775.1999999999999,131.0,1.77642
ebola,patient_ai,24,0.0031,9.0,12.0,61.0,179.35999999999996,31.0,1.7944200000000001
ebola,patient_ai,25,0.0044,14.0,18.0,60.0,269.79999999999995,44.0,1.79208
ebola,patient_ai,26,0.0039,15.0,18.0,40.0,230.28,39.0,1.79298
ebola,patient_ai,27,0.0084,18.0,16.0,82.0,483.36,84.0,1.78488
ebola,patient_ai,28,0.0202,22.0,102.0,139.0,1127.08,202.0,1.76364
ebola,patient_ai,29,0.0072,13.0,17.0,94.0,386.84000000000003,72.0,1.7870400000000002
ebola,patient_ai,30,0.0064,17.0,18.0,68.0,323.76,64.0,1.7884799999999998
ebola,patient_ai,31,0.0054,12.0,16.0,82.0,296.40000000000003,54.0,1.7902799999999999
ebola,patient_ai,32,0.0112,19.0,45.0,106.0,606.48,112.0,1.77984
ebola,patient_ai,33,0.0099,17.0,24.0,96.0,579.1199999999999,99.0,1.7821799999999999
ebola,patient_ai,34,0.0424,42.0,57.0,184.0,2476.84,424.0,1.7236799999999999
ebola,patient_ai,35,0.0035,11.0,21.0,58.0,183.16,35.0,1.7937
ebola,patient_ai,36,0.0323,27.0,143.0,217.0,1849.8399999999997,323.0,1.7418600000000002
ebola,patient_ai,37,0.011,21.0,13.0,123.0,615.5999999999999,110.0,1.7802
ebola,patient_ai,38,0.0108,24.0,21.0,88.0,607.24,108.0,1.7805600000000001
