disease,scenario,replication,cumulative_attack_rate,peak_incidence,peak_timing,epidemic_duration,hospital_days,total_infections,R_eff_final
covid19,baseline,84,0.9997,4056.5958959613604,35.0,124.0,8910.350944197133,9997.0,0.0012
covid19,baseline,85,0.9997,3972.852489169846,39.0,129.0,8922.520819660967,9997.0,0.0012
covid19,baseline,86,0.9997,4029.0835528252474,35.0,121.0,8945.828293812943,9997.0,0.0012
covid19,baseline,87,0.9997,4044.4708597049494,35.0,124.0,8918.029869328999,9997.0,0.0012
covid19,baseline,88,0.9998,4210.106606414702,31.0,122.0,8866.189724619888,9998.0,0.0008
covid19,baseline,89,0.9997,3995.8307164839994,37.0,126.0,8971.581662963708,9997.0,0.0012
covid19,baseline,90,0.9996,3843.2248223185143,40.0,125.0,8939.356495965993,9996.0,0.0016
covid19,baseline,91,0.9997,4071.85892237641,35.0,123.0,8916.351690349631,9997.0,0.0012
covid19,baseline,92,0.9998,4237.666077823885,30.0,119.0,8880.34432284885,9998.0,0.0008
covid19,baseline,93,0.9997,4069.1364100150186,36.0,126.0,8935.925135599377,9997.0,0.0012
covid19,baseline,94,0.9997,4049.8330395749736,35.0,123.0,8945.593179236545,9997.0,0.0012
covid19,baseline,95,0.9997,4056.6425041972225,34.0,124.0,8916.926067380471,9997.0,0.0012
covid19,baseline,96,0.9997,4130.752180945881,33.0,132.0,8873.886590270053,9997.0,0.0012
covid19,baseline,97,0.9997,4053.8587209044335,35.0,116.0,8910.218396968465,9997.0,0.0012
covid19,baseline,98,0.9997,4054.293671458695,36.0,120.0,8920.26209246567,9997.0,0.0012
covid19,baseline,99,0.9997,4051.6557197387956,35.0,120.0,8924.944623250914,9997.0,0.0012
covid19,baseline,100,0.9997,4081.8310869914176,35.0,125.0,8912.539745494381,9997.0,0.0012
covid19,baseline,101,0.9998,4175.939506613988,33.0,124.0,8893.343558071483,9998.0,0.0008
covid19,baseline,102,0.9997,4037.6975603470437,35.0,125.0,8916.034695621307,9997.0,0.0012
covid19,baseline,103,0.9997,4085.5730652374195,35.0,122.0,8875.313021560029,9997.0,0.0012
covid19,baseline,104,0.9998,4145.717001676807,34.0,128.0,8901.99132264067,9998.0,0.0008
covid19,baseline,105,0.9997,4039.548186579075,35.0,132.0,8953.733674399968,9997.0,0.0012
covid19,baseline,106,0.9998,4118.869835648738,36.0,128.0,8906.994806654819,9998.0,0.0008
covid19,baseline,107,0.9998,4184.53843252881,30.0,115.0,8922.135875975113,9998.0,0.0008
covid19,baseline,108,0.9998,4137.6926476604785,34.0,122.0,8905.851810087064,9998.0,0.0008
covid19,baseline,109,0.9997,3963.726853620924,36.0,121.0,8972.980176228577,9997.0,0.0012
covid19,baseline,110,0.9997,3997.491409799559,36.0,127.0,8905.095853503399,9997.0,0.0012
covid19,baseline,111,0.9998,4232.851194998914,31.0,116.0,8842.508017001412,9998.0,0.0008
covid19,baseline,112,0.9998,4145.458368468564,32.0,118.0,8919.004743453559,9998.0,0.0008
covid19,baseline,113,0.9998,4096.910611342973,35.0,141.0,8931.921350440549,9998.0,0.0008
covid19,baseline,114,0.9998,4163.570084588211,33.0,116.0,8881.052675504881,9998.0,0.0008
covid19,baseline,115,0.9997,4051.6994891533213,33.0,120.0,8917.738725314492,9997.0,0.0012
covid19,baseline,116,0.9998,4145.081431374594,32.0,122.0,8883.233870401697,9998.0,0.0008
covid19,baseline,117,0.9997,4075.1209187715267,34.0,129.0,8918.813991280633,9997.0,0.0012
covid19,baseline,118,0.9998,4130.854650922885,32.0,129.0,8928.544995781695,9998.0,0.0008
covid19,baseline,119,0.9998,4210.726601325612,32.0,121.0,8914.192611245213,9998.0,0.0008
covid19,baseline,120,0.9998,4269.604127774521,29.0,116.0,8854.805945594982,9998.0,0.0008
covid19,baseline,121,0.9998,4217.0321941088805,32.0,131.0,8916.400535363131,9998.0,0.0008
covid19,baseline,122,0.9997,4067.271625580761,35.0,128.0,8927.247228387514,9997.0,0.0012
covid19,baseline,123,0.9998,4210.818932200082,32.0,119.0,8896.248927504177,9998.0,0.0008
covid19,baseline,124,0.9998,4108.299729306391,33.0,116.0,8878.158207942395,9998.0,0.0008
covid19,baseline,125,0.9998,4152.891800859191,33.0,119.0,8949.373428628496,9998.0,0.0008
covid19,baseline,126,0.9998,4159.650538987111,31.0,117.0,8920.916252987046,9998.0,0.0008
covid19,baseline,127,0.9998,4180.036655681617,32.0,117.0,8856.695778329226,9998.0,0.0008
covid19,baseline,128,0.9998,4164.503811539751,32.0,123.0,8928.352612497014,9998.0,0.0008
covid19,baseline,129,0.9996,4060.9710428870458,34.0,120.0,8951.621086001422,9996.0,0.0016
covid19,baseline,130,0.9997,4042.644050195913,36.0,128.0,8918.059254983926,9997.0,0.0012
covid19,baseline,131,0.9998,4183.497020652001,32.0,117.0,8899.381761619472,9998.0,0.0008
covid19,baseline,132,0.9998,4146.874537080395,34.0,119.0,8944.08897856037,9998.0,0.0008
covid19,baseline,133,0.9998,4151.904187185992,33.0,134.0,8894.37755693067,9998.0,0.0008
covid19,baseline,134,0.9998,4179.344317031926,31.0,119.0,8911.526873645696,9998.0,0.0008
covid19,baseline,135,0.9997,4005.0737213136304,35.0,124.0,8929.273349030702,9997.0,0.0012
covid19,baseline,136,0.9997,3983.8947622922915,37.0,127.0,8941.732636966986,9997.0,0.0012
covid19,baseline,137,0.9997,4088.7557598041594,32.0,117.0,8905.305989504923,9997.0,0.0012
covid19,baseline,138,0.9997,4099.652693527852,33.0,117.0,8901.168992376584,9997.0,0.0012
covid19,baseline,139,0.9998,4146.1277256349495,32.0,118.0,8907.341707282822,9998.0,0.0008
covid19,baseline,140,0.9996,4076.5963231852365,34.0,134.0,8853.989238453842,9996.0,0.0016
covid19,baseline,141,0.9996,4012.2895399247946,34.0,118.0,8917.705443079893,9996.0,0.0016
covid19,baseline,142,0.9998,4135.472932760603,34.0,125.0,8879.185087740218,9998.0,0.0008
covid19,baseline,143,0.9998,4010.555052871193,35.0,134.0,8943.001686825077,9998.0,0.0008
covid19,baseline,144,0.9998,4181.043773690865,32.0,120.0,8885.973909131975,9998.0,0.0008
covid19,baseline,145,0.9997,3984.8469464182613,39.0,126.0,8890.747030914055,9997.0,0.0012
covid19,baseline,146,0.9998,4170.473931801086,33.0,117.0,8884.094664306223,9998.0,0.0008
covid19,baseline,147,0.9997,3979.723780505461,34.0,122.0,8948.213901619789,9997.0,0.0012
covid19,baseline,148,0.9996,3892.499120591266,39.0,124.0,8939.06753473976,9996.0,0.0016
covid19,baseline,149,0.9997,4098.845850790341,36.0,132.0,8913.37337588135,9997.0,0.0012
covid19,baseline,150,0.9997,4122.763099783473,34.0,115.0,8903.140326666147,9997.0,0.0012
covid19,baseline,151,0.9998,4150.17346507618,32.0,120.0,8890.2302137539,9998.0,0.0008
covid19,baseline,152,0.9997,3998.0845328454816,37.0,117.0,8905.265274873025,9997.0,0.0012
covid19,baseline,153,0.9998,4156.246830510577,32.0,120.0,8900.024475220904,9998.0,0.0008
covid19,baseline,154,0.9997,4060.5640864196716,34.0,118.0,8906.54277039025,9997.0,0.0012
covid19,baseline,155,0.9998,4070.4300738776246,34.0,121.0,8898.243646552593,9998.0,0.0008
covid19,baseline,156,0.9997,4064.980598665674,34.0,125.0,8906.625315871577,9997.0,0.0012
covid19,baseline,157,0.9998,4088.5742749179185,34.0,128.0,8905.836876558942,9998.0,0.0008
covid19,baseline,158,0.9998,4148.224285658945,33.0,117.0,8905.904395531812,9998.0,0.0008
covid19,baseline,159,0.9998,4174.141992674196,33.0,121.0,8928.216855808314,9998.0,0.0008
covid19,baseline,160,0.9997,3959.0993259294883,36.0,129.0,8927.95380098103,9997.0,0.0012
covid19,baseline,161,0.9998,4183.818372533029,32.0,126.0,8889.799695811022,9998.0,0.0008
covid19,baseline,162,0.9998,4154.04810442543,34.0,119.0,8897.38274931434,9998.0,0.0008
covid19,baseline,163,0.9997,4188.275776763809,32.0,120.0,8923.167808015327,9997.0,0.0012
covid19,baseline,164,0.9997,4137.674536678673,34.0,125.0,8917.399305250372,9997.0,0.0012
covid19,baseline,165,0.9996,3861.4512843447487,39.0,125.0,8981.909590227446,9996.0,0.0016
covid19,baseline,166,0.9998,4164.782584301431,33.0,119.0,8898.344274272244,9998.0,0.0008
covid19,baseline,167,0.9998,4182.860694581772,32.0,123.0,8885.405967936043,9998.0,0.0008
covid19,baseline,168,0.9997,4162.74538222427,32.0,123.0,8932.109464933792,9997.0,0.0012
covid19,baseline,169,0.9997,3918.529636918336,40.0,130.0,8897.816706567379,9997.0,0.0012
covid19,baseline,170,0.9998,4131.956386002536,32.0,125.0,8923.037846809126,9998.0,0.0008
covid19,baseline,171,0.9998,4214.328775475129,32.0,121.0,8874.064082072102,9998.0,0.0008
covid19,baseline,172,0.9997,4140.452382159749,34.0,121.0,8924.678039480672,9997.0,0.0012
covid19,baseline,173,0.9997,4041.0294009370946,35.0,121.0,8892.98452584914,9997.0,0.0012
covid19,baseline,174,0.9997,4020.9885605118716,34.0,124.0,8904.292917969578,9997.0,0.0012
covid19,baseline,175,0.9998,4153.1192680097265,33.0,123.0,8886.095913217281,9998.0,0.0008
covid19,baseline,176,0.9998,4152.447638633461,33.0,125.0,8921.064207917101,9998.0,0.0008
covid19,baseline,177,0.9997,3996.4871477618385,35.0,123.0,8938.557490641975,9997.0,0.0012
